0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:18:07 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:18:07 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4080
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:18:08 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:18:08 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:23:00 -0300] "GET /ProjetoTrilhaWeb/pages/admin/?txtbusca=nelson HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:23:00 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:23:00 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:23:00 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:23:00 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:23:00 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:23:00 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:23:00 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:23:00 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:23:02 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 1504
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:23:02 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:23:03 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:23:03 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [04/Jul/2022:20:23:03 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
