127.0.0.1 - - [25/Aug/2022:20:26:28 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:39:56 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:39:56 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:39:56 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:39:56 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:08 -0300] "GET /ProjetoTrilhaWeb/pages/admin/ HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:08 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2814
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:08 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:08 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:08 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:09 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:09 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:09 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:32 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2526
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:32 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:33 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:33 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:33 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:33 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:38 -0300] "GET /ProjetoTrilhaWeb/pages/admin/product/ HTTP/1.1" 200 2526
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:38 -0300] "GET /ProjetoTrilhaWeb/js/product.js HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:40 -0300] "GET /ProjetoTrilhaWeb/rest/produto/buscar?valorBusca= HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:40 -0300] "GET /ProjetoTrilhaWeb/rest/marca/buscar HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:40 -0300] "GET /ProjetoTrilhaWeb/imgs/edit.png HTTP/1.1" 200 9720
0:0:0:0:0:0:0:1 - - [25/Aug/2022:20:54:40 -0300] "GET /ProjetoTrilhaWeb/imgs/delete.png HTTP/1.1" 200 74232
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:18:24 -0300] "GET /ProjetoTrilhaWeb/pages/admin/?txtbusca=sdfghsdfgh HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:18:24 -0300] "GET /ProjetoTrilhaWeb/css/admin.css HTTP/1.1" 200 2814
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:18:24 -0300] "GET /ProjetoTrilhaWeb/js/admin.js HTTP/1.1" 200 999
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:18:24 -0300] "GET /ProjetoTrilhaWeb/css/jquery-ui.css HTTP/1.1" 200 36954
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:18:24 -0300] "GET /ProjetoTrilhaWeb/js/jquery-ui.js HTTP/1.1" 200 529062
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:18:24 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/footer.html HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:18:24 -0300] "GET /ProjetoTrilhaWeb/pages/admin/general/header.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [25/Aug/2022:21:18:24 -0300] "GET /ProjetoTrilhaWeb/imgs/logo.png HTTP/1.1" 200 109630
